Market,Business Unit,KW
Semiconductors,Graphite Specialties,epitaxy
Semiconductors,Graphite Specialties,wafer carrier
Semiconductors,Graphite Specialties,solid SiC CVD
Semiconductors,Graphite Specialties,porous graphite
Semiconductors,Graphite Specialties,SiC coated
Semiconductors,Graphite Specialties,TaC coated graphite
Solar,Graphite Specialties,silicon crystal growth 
Solar,Graphite Specialties,PECVD
Solar,Graphite Specialties,rigid carbon insulation
Solar,Graphite Specialties,Soft felt carbon insulation
Solar,Solutions for Power Management,solar power conversion
Solar,Electrical Protection & Control,Solar BOS Overcurrent protection
Solar,Electrical Protection & Control,solar combiner box
Solar,Electrical Protection & Control,solar fuse
Solar,Electrical Protection & Control,solar fuse holder
Solar,Electrical Protection & Control,Solar Overcurrent protection
Solar,Electrical Protection & Control,PV fuses
Solar,Electrical Protection & Control,PV Surge Protection Devices
Solar,Electrical Protection & Control,Fuses for Photovoltaic applications
Solar,Electrical Protection & Control,Surge Protection for Photovoltaic systems
Solar,Electrical Protection & Control,Fuses for solar applications
Solar,Electrical Protection & Control,Surge Protection for solar systems
Wind,Power Transfer Technologies,wind carbon brush
Wind,Power Transfer Technologies,wind generator parts
Wind,Power Transfer Technologies,wind turbine parts
Wind,Power Transfer Technologies,pitch control slip ring
Wind,Power Transfer Technologies,fiber optic slip ring
Wind,Power Transfer Technologies,brush slip ring
Wind,Power Transfer Technologies,wind turbine slip ring
Wind,Power Transfer Technologies,electrical slip ring
Wind,Power Transfer Technologies,capacitive signal slip ring
Wind,Power Transfer Technologies,CG626  -  CG626
Wind,Solutions for Power Management,Wind power conversion
Wind,Electrical Protection & Control,Wind fuses
Wind,Electrical Protection & Control,lightning and surge protection for wind
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,13 electric vehicle surge protection
,,
,,14 ev charging station surge protection
