Mot clé pour le Réseau de Recherche;Éligible_Conversions;Éligible_Coût/conv.;Éligible_Taux de conv.;Éligible_Clics;Éligible_Impr.;Éligible_Coût;Éligible_CTR;Éligible_CPC moy.
télé cable sat abonnement;2;20.46;5.88%;34;198;40.91;17.17%;1.2
télé câble sat abonnement;1.05;46.44;2.10%;50;260;48.73;19.23%;0.97
télé cable satellite abonnement;1;11.86;16.67%;6;31;11.86;19.35%;1.98
telecable abonnement;7;6.88;18.92%;37;122;48.15;30.33%;1.3
telecable satellite abonnement;0;0;0.00%;1;7;0.57;14.29%;0.57
telecablesat abonnement;0;0;0.00%;35;139;38.5;25.18%;1.1
time abonnement;0;0;0.00%;1;26;1.03;3.85%;1.03
valeurs actuelles abonnement;0;0;0;0;0;0;0;0
valeurs actuelles abonnement;0;0;0.00%;12;126;3.62;9.52%;0.3
valeurs actuelles abonnement papier;0;0;0;0;4;0;0.00%;0
wider magazine;0;0;0.00%;1;7;0.68;14.29%;0.68
www clients fae fr;0;0;0.00%;1;6;0.52;16.67%;0.52
www kiosque;0;0;0;0;19;0;0.00%;0
www kiosque fae;0;0;0;0;7;0;0.00%;0
www kiosque fae fr;0;0;0.00%;30;56;17.38;53.57%;0.58
yoga magazine abonnement;0;0;0.00%;1;8;0.26;12.50%;0.26
